Order Id,Order Date,Ship Date,Customer Id,Customer Name,Customer Segment,Product Id,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,20-06-2026,26-06-2026,CUST881,Robert Bath,Home Office,PROD143,Office Chairs,Furniture,West,Karnataka,Srikakulam,3,3385,10,9139.5,6766.17,2373.33,Cash,Returned,Mane PLC,shethcharvi@dash.com,4,Yes,43
ORD1001,1/12/2024,19-01-2024,CUST758,Omaja Verma,Corporate,PROD955,Monitor,Electronics,South,Tripura,Kadapa,10,8270,20,66160,35888.32,30271.68,UPI,Pending,"Pal, Mishra and Kalita",samesh36@amble.com,22,No,0
ORD1002,12/6/2023,12/10/2023,CUST547,Waida Kibe,Home Office,PROD447,Rice Bag,Grocery,West,Sikkim,Chapra,5,8654,10,38943,29684.69,9258.31,Cash,Pending,"Taneja, Aurora and Chaudhry",fhans@balakrishnan.com,0,Yes,38
ORD1003,13-03-2026,19-03-2026,CUST284,Umang Natarajan,Consumer,PROD443,File Folder,Office Supplies,South,Meghalaya,Haridwar,2,9671,20,15473.6,9068.18,6405.42,UPI,Returned,"Chokshi, Mutti and Borde",mittalhemang@yadav.info,35,No,0
ORD1004,15-05-2024,21-05-2024,CUST148,Zarna Chana,Consumer,PROD638,Pen,Office Supplies,West,Tamil Nadu,Hyderabad,4,2567,5,9754.6,5605.26,4149.34,Cash,Pending,Mann Ltd,natarajanpallavi@halder.biz,24,No,0
ORD1005,16-03-2024,21-03-2024,CUST915,Yashvi Nagi,Consumer,PROD656,Stapler,Office Supplies,East,Uttar Pradesh,Jaipur,2,1460,0,2920,879.32,2040.68,Net Banking,Delivered,"Bains, Bhatt and Dass",emagar@sanghvi.com,10,No,0
ORD1006,31-07-2024,8/7/2024,CUST330,Bhavya Dhingra,Corporate,PROD310,Rice Bag,Grocery,North,Punjab,Bongaigaon,2,13051,0,26102,9251,16851,Net Banking,Pending,Misra Group,tbobal@lad.net,10,No,0
ORD1007,28-07-2025,8/1/2025,CUST548,Vasatika Sen,Consumer,PROD173,Dining Table,Furniture,East,Goa,Tumkur,5,5056,20,20224,10365.33,9858.67,Cash,Pending,"Vora, Krishnan and Sidhu",yatanarya@bava.net,28,No,0
ORD1008,12/3/2023,12/7/2023,CUST845,Urvashi Dey,Home Office,PROD282,Stapler,Office Supplies,South,Nagaland,Gandhidham,9,13917,5,5,79693.49,39296.86,Cash,Returned,Vasa LLC,ridhi28@mannan-sinha.org,42,No,0
ORD1009,7/8/2025,7/12/2025,CUST484,Sudiksha Sani,Consumer,PROD127,Notebook,Office Supplies,West,Bihar,Ahmednagar,5,1545,5,7338.75,3228.1,4110.65,Credit Card,Returned,"Toor, Guha and Apte",prashadtanmayi@vohra.com,25,No,0
ORD1010,8/11/2023,16-08-2023,CUST146,Hemani Ratti,Consumer,PROD404,Pen,Office Supplies,South,Andhra Pradesh,Amaravati,7,11484,15,68329.8,38372.2,29957.6,Credit Card,Delivered,Bath LLC,barkha34@kala-ray.com,35,No,0
ORD1011,28-02-2025,3/5/2025,CUST998,Wriddhish Oak,Home Office,PROD532,Keyboard,Electronics,East,Punjab,Sri Ganganagar,3,12331,15,31444.05,10523.22,20920.83,Net Banking,Delivered,"Mallick, Malhotra and Pingle",lopagoswami@goyal.com,45,No,0
ORD1012,9/5/2023,9/12/2023,CUST262,Widisha Lanka,Corporate,PROD492,Cooking Oil,Grocery,West,Meghalaya,Ongole,5,9449,5,44882.75,18532.86,26349.89,UPI,Cancelled,Sundaram and Sons,meera30@mitra.org,16,No,0
ORD1013,20-08-2025,27-08-2025,CUST558,Ryan Bobal,Home Office,PROD133,Pen,Office Supplies,West,Chhattisgarh,Narasaraopet,7,5835,0,40845,23133.87,17711.13,Cash,Pending,"Gill, Comar and Jhaveri",ysama@karnik.com,27,No,0
ORD1014,2/7/2024,14-02-2024,CUST712,Faris Mangat,Consumer,PROD490,Rice Bag,Grocery,East,Maharashtra,Panchkula,2,13470,20,21552,10369.86,11182.14,Net Banking,Cancelled,Khurana-Ganesan,upurohit@sane.com,3,Yes,22
ORD1015,10/8/2023,14-10-2023,CUST974,Vyanjana Bhagat,Consumer,PROD458,Study Table,Furniture,West,Mizoram,Udaipur,6,1775,5,10117.5,4915.64,5201.86,Cash,Returned,Mital PLC,pallavi51@sur.org,12,No,0
ORD1016,21-10-2024,27-10-2024,CUST369,Jonathan Hayre,Corporate,PROD750,Headphones,Electronics,West,Madhya Pradesh,Bhilwara,6,6949,5,39609.3,26406.51,13202.79,Net Banking,Delivered,"Chada, Subramanian and Malhotra",nicholas23@singhal.biz,24,No,0
ORD1017,20-07-2025,23-07-2025,CUST157,Sudiksha Ramesh,Consumer,PROD752,Rice Bag,Grocery,West,Uttar Pradesh,Hajipur,10,4086,0,40860,24346.4,16513.6,UPI,Pending,Batta-Kadakia,nakul76@sidhu.org,38,No,0
ORD1018,9/12/2023,17-09-2023,CUST333,Wakeeta Brar,Consumer,PROD339,Rice Bag,Grocery,East,Tamil Nadu,Srinagar,2,10541,15,17919.7,10344.68,7575.02,Credit Card,Returned,"Prakash, Ratti and Varughese",xalak69@kamdar.com,39,No,0
ORD1019,14-03-2026,17-03-2026,CUST674,Krisha Merchant,Corporate,PROD468,Headphones,Electronics,East,Uttar Pradesh,Sambalpur,7,1572,0,11004,8551.25,2452.75,Net Banking,Cancelled,"Bhandari, Borah and Ahuja",hemanggola@bajaj.com,0,Yes,29
